Session_ID,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
112163,0,0.0,0,0.0,3,44.5,0.066666667,0.133333333,0.0,0.0,Dec,2,2,9.0,3.0,Returning_Visitor,False,False
107490,0,0.0,0,0.0,12,460.2,0.061111111,0.111111111,0.0,0.0,Jul,2,2,6.0,4.0,Returning_Visitor,False,False
106273,4,48.8,0,0.0,11,344.8,0.015384615,0.054395604,0.0,0.0,Oct,3,2,1.0,4.0,Returning_Visitor,True,False
110651,0,0.0,0,0.0,23,517.0357143,0.0,0.00952381,23.30000662,0.0,Dec,4,2,8.0,2.0,New_Visitor,False,True
101259,7,110.25,0,0.0,20,266.5833333,0.011111111,0.039753086,0.0,0.0,Mar,2,2,1.0,2.0,Returning_Visitor,False,False
110999,0,,0,0.0,41,1066.339286,0.012195122,0.043292683,0.0,0.0,Nov,3,2,3.0,1.0,Returning_Visitor,False,False
106873,2,19.1,0,0.0,8,137.7,0.0,0.01,0.0,0.0,Aug,3,2,1.0,2.0,New_Visitor,False,True
106211,0,0.0,0,0.0,101,2611.747653,0.004356436,0.029287373,0.0,0.0,Oct,2,2,1.0,1.0,Returning_Visitor,False,False
102076,0,0.0,1,56.0,17,1385.833333,0.005882353,0.017647059,39.85866667,0.0,Mar,2,2,1.0,2.0,Returning_Visitor,False,True
103995,0,0.0,0,0.0,12,259.5,0.008333333,0.033333333,0.0,0.0,May,2,4,6.0,6.0,Returning_Visitor,False,False
107808,3,189.4,4,130.76,93,3856.82978,0.037525773,0.06218704,7.542144271,0.0,June,2,2,1.0,1.0,Returning_Visitor,False,False
107235,1,18.2,0,0.0,22,624.76,0.009090909,0.015909091,0.0,0.0,Oct,2,2,7.0,3.0,Returning_Visitor,False,False
103787,1,45.5,3,58.0,6,311.5,0.0,0.0125,0.0,0.0,May,3,2,6.0,2.0,New_Visitor,True,False
106665,2,33.4,0,0.0,35,1795.925,0.0,0.01,0.0,0.0,Nov,2,2,1.0,,,False,False
103419,0,0.0,0,0.0,15,436.0,0.013333333,0.086666667,0.0,0.8,May,2,2,1.0,3.0,Returning_Visitor,False,False
108834,15,543.3549065,7,243.2833333,169,6920.973243,0.005268892,0.016769542,0.742942737,0.0,Nov,1,1,3.0,,Returning_Visitor,True,False
111994,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Dec,3,2,1.0,1.0,Returning_Visitor,False,False
103712,3,23.0,0,0.0,14,243.8333333,0.0,0.011764706,0.0,0.0,May,2,4,2.0,2.0,New_Visitor,False,False
102710,0,0.0,0,0.0,16,200.0,0.034375,0.072115385,0.0,0.8,May,2,2,,1.0,Returning_Visitor,False,False
106511,2,81.6,1,0.0,32,2230.600476,0.0125,0.023125,0.0,0.0,Jul,2,2,9.0,1.0,Returning_Visitor,False,False
106280,0,0.0,0,0.0,3,35.4,0.0,0.066666667,0.0,0.0,Nov,1,1,,1.0,Returning_Visitor,False,False
102316,3,134.0,0,0.0,5,78.5,0.0,0.025,0.0,0.0,May,2,2,7.0,2.0,Returning_Visitor,True,False
102631,0,0.0,0,0.0,27,420.0,0.0,0.007692308,0.0,0.0,May,2,2,,,Returning_Visitor,True,False
103324,1,,0,0.0,11,578.0,0.0,0.011688312,0.0,0.0,May,1,2,1.0,1.0,Returning_Visitor,False,False
108512,2,96.75,0,0.0,103,3216.920172,0.012190476,0.030754266,0.0,0.0,Dec,2,2,6.0,2.0,Returning_Visitor,True,False
107071,0,,0,0.0,22,987.6,0.009090909,0.015151515,0.0,0.0,Oct,2,2,1.0,4.0,Returning_Visitor,True,False
103514,0,0.0,0,0.0,12,260.0,0.05,0.083333333,0.0,0.6,May,1,1,7.0,1.0,Returning_Visitor,False,False
106894,9,410.55,0,0.0,57,2791.060635,0.0,,13.09195948,0.0,Oct,2,2,3.0,2.0,Returning_Visitor,False,False
106177,3,,0,0.0,8,67.85,0.018181818,0.033333333,0.0,0.0,June,2,2,8.0,1.0,Returning_Visitor,False,False
111142,0,0.0,0,0.0,40,3675.5,0.0,0.016666667,0.0,0.0,Nov,2,2,8.0,10.0,Returning_Visitor,False,False
103001,1,6.0,2,15.0,19,512.0666667,0.00952381,0.033333333,0.0,0.0,May,2,2,1.0,4.0,Returning_Visitor,False,False
102634,1,11.0,3,27.5,154,3395.729484,0.007660455,0.012253894,19.13415285,0.8,May,3,2,4.0,13.0,Returning_Visitor,False,False
112241,1,8.0,0,0.0,6,189.75,0.0,0.019047619,0.0,0.0,Nov,1,1,7.0,2.0,Returning_Visitor,False,False
105684,4,28.73333333,0,0.0,12,243.75,0.0,0.038571429,8.150811238,0.0,June,3,2,4.0,,Returning_Visitor,True,True
101701,0,0.0,0,0.0,23,1669.0,0.0,,0.0,0.0,Mar,2,4,7.0,2.0,Returning_Visitor,False,False
111740,2,54.5,4,29.5,11,1055.75,0.0,0.026666667,0.0,0.0,Dec,2,2,1.0,2.0,New_Visitor,False,False
107757,0,0.0,3,55.4,36,1018.018025,0.01025641,0.038075929,0.0,0.0,Nov,2,2,1.0,2.0,Returning_Visitor,False,False
104825,0,0.0,0,0.0,10,377.5,0.02,0.06,0.0,0.0,May,1,1,2.0,11.0,Returning_Visitor,True,False
111344,8,204.1071429,0,0.0,15,347.7321429,0.0,0.012280702,18.08071442,0.0,Nov,1,1,1.0,,New_Visitor,False,False
101407,2,,0,0.0,9,416.6666667,0.0,0.004545455,0.0,0.0,Mar,3,2,6.0,2.0,,True,False
107624,8,82.85,0,0.0,84,2289.079157,0.002556818,,0.0,0.0,June,1,1,7.0,3.0,Returning_Visitor,False,False
108882,0,0.0,0,0.0,3,138.0,0.1,0.111111111,0.0,0.0,Nov,1,1,1.0,3.0,Returning_Visitor,False,False
111961,0,0.0,0,0.0,17,1032.9,0.0,0.013333333,0.0,0.0,Nov,2,4,1.0,2.0,Returning_Visitor,False,False
104241,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,2,10,3.0,3.0,Returning_Visitor,False,False
104939,0,0.0,0,0.0,10,148.5,0.09,0.096666667,0.0,0.4,May,1,1,1.0,2.0,Returning_Visitor,False,False
103981,0,0.0,0,0.0,17,290.8333333,0.0,0.0125,0.0,0.4,May,2,2,3.0,2.0,Returning_Visitor,False,False
103196,6,32.5,2,62.5,80,1190.418903,0.005714286,0.027420635,7.530107143,0.8,May,2,2,1.0,4.0,Returning_Visitor,False,False
111709,1,6.0,0,0.0,15,579.0,0.0,,63.93506419,0.0,Dec,1,1,4.0,2.0,New_Visitor,False,True
102976,0,0.0,1,0.0,57,1190.548851,0.007017544,0.027309942,17.16745965,0.6,May,2,2,1.0,6.0,Returning_Visitor,False,True
108245,5,110.95,0,0.0,23,448.25,0.024,0.043333333,0.0,0.0,Nov,3,2,8.0,11.0,Returning_Visitor,False,False
103476,0,0.0,0,0.0,8,89.5,0.0,0.05,0.0,0.0,May,2,2,,1.0,Returning_Visitor,False,False
108185,0,0.0,0,0.0,13,173.25,0.046153846,0.061538462,0.0,0.0,Dec,2,2,3.0,1.0,Returning_Visitor,False,False
110258,0,0.0,0,0.0,11,352.5,0.0,0.03,0.0,0.0,Dec,2,2,1.0,1.0,Returning_Visitor,False,False
106625,0,0.0,0,0.0,15,150.4,0.0,0.013333333,0.0,0.0,Nov,2,2,7.0,20.0,Returning_Visitor,False,False
104318,6,34.4,0,0.0,44,1820.566667,0.029166667,0.055555556,15.184125,0.6,May,2,2,,6.0,Returning_Visitor,False,False
106786,4,20.06666667,1,189.4,10,297.1666667,0.0,0.028571429,0.0,0.0,Nov,2,2,1.0,4.0,Returning_Visitor,False,False
101790,4,40.0,2,146.0,56,2866.90202,0.0,0.010451977,85.7528587,0.0,Mar,2,2,2.0,2.0,Returning_Visitor,True,False
103126,1,60.0,1,15.0,26,670.1666667,0.0,0.003846154,0.0,0.0,May,2,2,3.0,4.0,Returning_Visitor,False,False
101610,0,0.0,3,65.0,15,1957.616667,0.0,0.00625,0.0,0.0,Mar,1,1,1.0,1.0,Returning_Visitor,True,False
100606,0,0.0,0,0.0,4,505.0,0.0,0.05,0.0,0.0,Mar,2,2,1.0,1.0,,False,False
100058,4,56.0,2,120.0,36,998.7416667,0.0,0.014736467,19.44707913,0.2,Feb,2,2,,1.0,Returning_Visitor,False,False
106447,2,89.33333333,0,0.0,22,502.5083333,0.0,0.018695652,0.0,0.0,Sep,3,2,2.0,,Returning_Visitor,True,False
104904,11,136.3333333,2,72.5,80,1552.504762,0.002247191,0.00952381,28.25395506,0.0,May,2,2,3.0,4.0,Returning_Visitor,False,False
104033,0,0.0,1,0.0,50,1115.459524,0.007843137,0.015686275,0.0,0.0,May,3,2,6.0,4.0,Returning_Visitor,True,False
110689,0,0.0,0,0.0,9,470.0,0.0375,0.066666667,0.0,0.0,Dec,2,4,1.0,1.0,Returning_Visitor,False,False
106830,1,20.2,0,0.0,6,1561.2,0.028571429,0.057142857,0.0,0.0,Nov,4,2,3.0,1.0,Returning_Visitor,True,False
112034,12,483.3333333,1,0.0,5,161.3333333,0.0,,0.0,0.0,Dec,1,1,3.0,2.0,Returning_Visitor,True,False
104459,1,19.0,0,0.0,11,501.75,0.016666667,0.033333333,55.485,0.0,May,2,4,4.0,2.0,Returning_Visitor,False,True
102971,1,4.5,3,61.0,145,5577.826456,0.002688695,0.01187122,2.353444628,1.0,May,3,2,3.0,11.0,Returning_Visitor,True,False
104478,0,0.0,0,0.0,6,364.5,0.077777778,0.072222222,0.0,0.6,May,3,2,4.0,3.0,Returning_Visitor,False,False
109101,0,0.0,0,0.0,3,139.0,0.0,,127.3080148,0.0,Dec,2,10,1.0,2.0,Returning_Visitor,False,True
107123,4,130.3,2,5.0,74,1903.45,0.005,0.019107143,0.0,0.0,Aug,2,2,9.0,13.0,Returning_Visitor,False,False
108054,7,286.8333333,0,0.0,49,1493.695238,0.005390836,0.015750591,0.0,0.0,Dec,3,2,3.0,10.0,Returning_Visitor,True,False
111789,3,28.125,0,0.0,50,1032.008333,0.008,0.014133333,0.0,0.0,Nov,2,2,1.0,2.0,Returning_Visitor,True,False
102068,0,0.0,0,0.0,32,827.6462121,0.0,0.00058651,54.67634844,0.0,Mar,2,2,7.0,2.0,Returning_Visitor,False,True
105584,2,75.05,0,0.0,106,4143.175238,0.019711538,0.03900641,4.484328486,0.0,Aug,3,2,1.0,1.0,,False,False
100827,2,208.0,1,50.0,30,1461.666667,0.0,0.02125,0.0,0.0,Mar,2,5,1.0,3.0,Returning_Visitor,False,False
107412,5,175.1,0,0.0,26,615.5595238,0.0,0.002083333,62.77367187,0.0,Sep,1,1,1.0,3.0,New_Visitor,True,True
109331,1,45.5,3,1021.666667,130,3376.027564,0.007518797,0.029169274,0.0,0.0,Dec,2,2,1.0,1.0,Returning_Visitor,False,False
103765,4,318.6666667,0,0.0,32,1205.583333,0.006451613,0.010752688,37.60935484,0.0,May,2,2,1.0,2.0,Returning_Visitor,True,False
103351,5,20.0,0,0.0,56,441.2166667,0.008474576,0.019322034,0.0,0.2,May,2,2,2.0,3.0,Returning_Visitor,False,False
105613,0,0.0,0,0.0,10,45.2,0.08,0.1,0.0,0.0,Aug,1,1,1.0,3.0,Returning_Visitor,False,False
103861,0,0.0,0,0.0,20,298.5,0.01,0.04,0.0,0.0,May,2,4,3.0,1.0,Returning_Visitor,False,False
107439,0,0.0,3,114.8,22,583.0933333,0.0,0.015942029,2.749716646,0.0,Sep,1,1,3.0,1.0,Returning_Visitor,False,True
102577,0,0.0,0,0.0,3,222.0,0.133333333,0.133333333,0.0,0.0,May,1,1,3.0,3.0,Returning_Visitor,False,False
104165,0,0.0,0,0.0,7,70.0,0.0,0.028571429,0.0,0.0,May,2,2,1.0,2.0,Returning_Visitor,False,False
102260,0,0.0,2,236.0,66,1483.55,0.0,,143.2115385,0.0,May,2,4,,3.0,Returning_Visitor,True,True
